POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,SR,Unnamed: 0,Year,Metric,Source_File
22.0,Manoj Tiwary,50,28,6,2,RCB,Eden Gardens,14 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
23.0,David Warner,107,29,9,5,KKR,Arun Jaitley Stadium,29 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
24.0,Murali Vijay,78,29,4,6,RCB,Chidambaram,31 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
25.0,Shane Watson,58,29,3,3,DEC,Vidarbha Cricket Association Stadium,05 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
26.0,MS Dhoni,54,29,5,2,PBKS,HPCA Stadium,18 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
27.0,Kedar Jadhav,50,29,5,2,RCB,M. Chinnaswamy Stadium,25 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
28.0,Murali Vijay,127,30,8,11,RR,Chidambaram,03 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
29.0,Naman Ojha,94,30,8,6,CSK,Chidambaram,03 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
30.0,Chris Gayle,88,30,6,8,PBKS,Eden Gardens,04 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
31.0,Dinesh Karthik,69,30,6,4,RR,Arun Jaitley Stadium,31 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
32.0,Ambati Rayudu,55,30,6,2,RR,Brabourne Stadium,13 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
33.0,Adam Gilchrist,54,30,3,3,KKR,DY Patil Stadium,12 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
34.0,Saurabh Tiwary,53,30,4,2,RR,Brabourne Stadium,13 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
35.0,Rohit Sharma,68,31,6,3,PBKS,HPCA Stadium,16 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
36.0,Saurabh Tiwary,61,31,4,3,DC,Arun Jaitley Stadium,17 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
37.0,Virat Kohli,58,31,4,4,DEC,M. Chinnaswamy Stadium,08 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
38.0,Shikhar Dhawan,56,31,5,3,CSK,Brabourne Stadium,25 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
39.0,Saurabh Tiwary,52,31,3,4,RCB,DY Patil Stadium,21 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
40.0,Suresh Raina,83,32,7,3,MI,Brabourne Stadium,25 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
41.0,Naman Ojha,80,32,6,5,CSK,Narendra Modi Stadium,28 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
