POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
109,Abhishek Nayar,38,24,158.33,3,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
110,Graeme Smith,71,45,157.77,9,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
111,Debabrata Das,31,20,155.0,1,2,RR,Eden Gardens,20 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
112,Ajit Agarkar,20,13,153.84,1,2,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
113,Graeme Smith,75,49,153.06,8,2,RCB,Sawai Mansingh Stadium,17 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
114,Albie Morkel,29,19,152.63,1,2,DEC,Chidambaram,06 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
115,Swapnil Asnodkar,41,27,151.85,5,2,CSK,Chidambaram,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
116,Wasim Jaffer,50,33,151.51,5,2,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
117,Abhishek Nayar,27,18,150.0,1,2,PBKS,Wankhede Stadium,21 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
118,Adam Gilchrist,54,36,150.0,7,2,CSK,Chidambaram,06 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
119,Shane Watson,61,41,148.78,8,2,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
120,Shaun Marsh,74,51,145.09,9,2,RCB,IS Bindra Stadium,12 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
121,Suresh Raina,43,30,143.33,1,2,RR,DY Patil Stadium,01 June 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
122,Kumar Sangakkara,64,45,142.22,7,2,KKR,Eden Gardens,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
123,Luke Pomersbach,34,24,141.66,3,2,RCB,IS Bindra Stadium,12 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
124,David Hussey,42,30,140.0,1,2,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
125,Herschelle Gibbs,47,34,138.23,6,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
126,Yuvraj Singh,40,29,137.93,3,2,DC,IS Bindra Stadium,27 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
127,Rohit Sharma,33,24,137.5,3,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
128,Rahul Dravid,26,19,136.84,1,2,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
129,Parthiv Patel,54,40,135.0,5,2,RR,Chidambaram,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
130,Cameron White,31,23,134.78,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
131,Virat Kohli,38,29,131.03,1,2,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
132,Sourav Ganguly,51,39,130.76,4,2,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
133,Shaun Marsh,40,31,129.03,3,2,KKR,Eden Gardens,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
134,Shikhar Dhawan,59,46,128.26,6,2,CSK,Arun Jaitley Stadium,08 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
135,Michael Hussey,47,37,127.02,3,2,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
136,Ravindra Jadeja,29,23,126.08,2,2,DC,Arun Jaitley Stadium,19 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
137,Suresh Raina,54,43,125.58,5,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
138,Dominic Thornely,30,24,125.0,2,2,DC,DY Patil Stadium,04 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
139,Adam Gilchrist,46,37,124.32,4,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
140,Karan Goel,26,21,123.8,3,2,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
141,Albie Morkel,16,13,123.07,0,2,RR,DY Patil Stadium,01 June 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
