Unnamed: 0,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
1101,Nathan Coulter-Nile,4.0,20,4,13,5.0,6.0,PBKS,Arun Jaitley Stadium,01 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1102,Mitchell Starc,4.0,20,3,14,5.0,8.0,DC,Arun Jaitley Stadium,26 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1103,Mitchell McClenaghan,4.0,20,3,13,5.0,8.0,SRH,Wankhede Stadium,25 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1104,Yuzvendra Chahal,4.0,20,2,9,5.0,12.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1105,Harbhajan Singh,4.0,20,2,9,5.0,12.0,PBKS,Wankhede Stadium,12 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1106,Moises Henriques,4.0,20,2,12,5.0,12.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1107,Andre Russell,4.0,20,2,9,5.0,12.0,CSK,Eden Gardens,30 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1108,Harshal Patel,3.0,15,2,8,5.0,9.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1109,Sreenath Aravind,4.0,20,2,13,5.0,12.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1110,Bhuvneshwar Kumar,4.0,20,1,11,5.0,24.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1111,Dhawal Kulkarni,3.0,15,1,10,5.0,18.0,MI,Narendra Modi Stadium,14 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1112,Karn Sharma,4.0,20,1,7,5.0,24.0,RCB,M. Chinnaswamy Stadium,13 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1113,Parveez Rasool,4.0,20,1,9,5.0,24.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1114,Amit Mishra,4.0,20,1,14,5.0,24.0,KKR,Eden Gardens,07 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1115,Andre Russell,2.0,10,1,8,5.0,12.0,SRH,Eden Gardens,04 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1116,Amit Mishra,2.0,10,1,5,5.0,12.0,PBKS,Arun Jaitley Stadium,01 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1117,Deepak Hooda,4.0,20,0,8,5.0,0.0,DC,Arun Jaitley Stadium,12 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1118,Pravin Tambe,3.0,15,0,7,5.0,0.0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1119,Pravin Tambe,4.0,21,2,12,5.25,12.0,SRH,ACA-VDCA Stadium,16 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1120,Ishwar Pandey,4.0,21,1,14,5.25,24.0,RCB,M. Chinnaswamy Stadium,22 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1121,Jagadeesha Suchith,4.0,21,1,10,5.25,24.0,CSK,Chidambaram,08 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1122,Amit Mishra,4.0,21,1,10,5.25,24.0,CSK,Chidambaram,09 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1123,Bhuvneshwar Kumar,4.0,21,1,9,5.25,24.0,DC,ACA-VDCA Stadium,18 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1124,Piyush Chawla,4.0,21,1,13,5.25,24.0,CSK,Eden Gardens,30 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1125,Chris Morris,4.0,21,0,14,5.25,0.0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1126,Bhuvneshwar Kumar,3.0,16,0,10,5.33,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1127,Murali Vijay,3.0,16,0,3,5.33,0.0,SRH,IS Bindra Stadium,27 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1128,David Wiese,3.2,18,2,8,5.4,10.0,DC,Arun Jaitley Stadium,26 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1129,Mitchell Starc,4.0,22,3,13,5.5,8.0,RR,Narendra Modi Stadium,24 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
