Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1837,Jonny Bairstow,17,5,340.0,1,2,PBKS,Dubai International Stadium,08 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1838,Marcus Stoinis,17,4,425.0,1,2,MI,Dubai International Stadium,05 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1839,Mayank Agarwal,17,5,340.0,0,2,DC,Dubai International Stadium,20 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1840,Mayank Agarwal,17,4,425.0,1,2,RR,Sharjah Cricket Stadium,27 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1841,Chris Morris,17,4,425.0,1,2,PBKS,Sharjah Cricket Stadium,15 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1842,Ravindra Jadeja,17,5,340.0,2,1,KKR,Dubai International Stadium,29 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1843,AB de Villiers,17,6,283.33,1,2,KKR,Sharjah Cricket Stadium,12 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1844,Hardik Pandya,17,5,340.0,2,1,PBKS,Zayed Cricket Stadium,01 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1845,AB de Villiers,16,5,320.0,1,2,MI,Dubai International Stadium,28 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1846,Eoin Morgan,16,6,266.66,1,1,SRH,Zayed Cricket Stadium,18 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1847,Ishan Kishan,16,5,320.0,2,1,CSK,Sharjah Cricket Stadium,23 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1848,Ben Stokes,16,6,266.66,1,2,PBKS,Zayed Cricket Stadium,30 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1849,Nicholas Pooran,16,5,320.0,1,2,RR,Sharjah Cricket Stadium,27 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1850,Robin Uthappa,16,6,266.66,4,0,RCB,Dubai International Stadium,17 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1851,Shreyas Iyer,16,5,320.0,2,1,KKR,Sharjah Cricket Stadium,03 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1852,KL Rahul,16,6,266.66,2,1,CSK,Dubai International Stadium,04 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1853,Ben Stokes,16,6,266.66,4,0,MI,Zayed Cricket Stadium,25 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1854,Quinton de Kock,16,4,400.0,1,2,SRH,Sharjah Cricket Stadium,03 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1855,Suryakumar Yadav,16,6,266.66,4,0,KKR,Zayed Cricket Stadium,23 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1856,Shane Watson,16,4,400.0,1,2,RR,Sharjah Cricket Stadium,22 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1857,Devdutt Padikkal,16,6,266.66,2,1,MI,Zayed Cricket Stadium,28 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1858,Eoin Morgan,16,4,400.0,0,2,MI,Zayed Cricket Stadium,16 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1859,KL Rahul,16,3,533.33,1,2,RCB,Dubai International Stadium,24 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1860,Manish Pandey,16,4,400.0,1,2,RR,Dubai International Stadium,22 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1861,Mandeep Singh,16,5,320.0,0,2,CSK,Dubai International Stadium,04 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1862,Jos Buttler,15,5,300.0,2,1,DC,Dubai International Stadium,14 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1863,Virat Kohli,15,4,375.0,0,2,CSK,Dubai International Stadium,10 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1864,MS Dhoni,15,5,300.0,1,1,SRH,Dubai International Stadium,02 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1865,Shreyas Iyer,15,4,375.0,0,2,RR,Dubai International Stadium,14 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1866,David Warner,15,5,300.0,3,0,MI,Sharjah Cricket Stadium,03 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1867,Ravindra Jadeja,15,5,300.0,0,2,DC,Sharjah Cricket Stadium,17 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1868,Devdutt Padikkal,15,6,250.0,1,1,RR,Zayed Cricket Stadium,03 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1869,Quinton de Kock,15,5,300.0,1,1,SRH,Sharjah Cricket Stadium,04 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1870,Dinesh Karthik,15,4,375.0,2,1,PBKS,Zayed Cricket Stadium,10 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1871,Shimron Hetmyer,15,5,300.0,0,2,SRH,Zayed Cricket Stadium,29 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1872,Marcus Stoinis,15,6,250.0,2,1,RCB,Dubai International Stadium,05 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1873,Ravindra Jadeja,15,6,250.0,3,0,SRH,Dubai International Stadium,02 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1874,Steve Smith,15,6,250.0,3,0,RCB,Dubai International Stadium,17 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1875,AB de Villiers,15,6,250.0,1,1,KKR,Sharjah Cricket Stadium,12 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1876,Quinton de Kock,15,5,300.0,3,0,CSK,Zayed Cricket Stadium,19 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1877,Hardik Pandya,15,5,300.0,2,1,KKR,Zayed Cricket Stadium,23 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1878,Kieron Pollard,15,4,375.0,0,2,RCB,Dubai International Stadium,28 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1879,Abdul Samad,15,4,375.0,2,1,DC,Zayed Cricket Stadium,08 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1880,Riyan Parag,15,5,300.0,2,1,SRH,Dubai International Stadium,22 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1881,Deepak Hooda,15,5,300.0,0,2,CSK,Zayed Cricket Stadium,01 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1882,Quinton de Kock,15,6,250.0,3,0,DC,Dubai International Stadium,05 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1883,Kane Williamson,15,4,375.0,0,2,RR,Dubai International Stadium,11 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1884,Axar Patel,15,6,250.0,2,1,RR,Sharjah Cricket Stadium,09 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1885,Pat Cummins,15,5,300.0,2,1,MI,Zayed Cricket Stadium,16 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1886,Mayank Agarwal,15,4,375.0,0,2,RR,Sharjah Cricket Stadium,27 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1887,Andre Russell,15,5,300.0,0,2,RR,Dubai International Stadium,30 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1888,Virat Kohli,15,5,300.0,3,0,RR,Zayed Cricket Stadium,03 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1889,Ben Stokes,15,6,250.0,2,0,MI,Zayed Cricket Stadium,25 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1890,Steve Smith,15,5,300.0,3,0,PBKS,Zayed Cricket Stadium,30 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1891,Quinton de Kock,15,4,375.0,2,1,KKR,Zayed Cricket Stadium,16 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1892,Saurabh Tiwary,15,4,375.0,2,1,RR,Zayed Cricket Stadium,25 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1893,Rahul Tewatia,14,5,280.0,1,1,RCB,Dubai International Stadium,17 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1894,AB de Villiers,14,5,280.0,1,1,KKR,Sharjah Cricket Stadium,12 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1895,David Warner,14,5,280.0,3,0,KKR,Zayed Cricket Stadium,18 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1896,Manish Pandey,14,5,280.0,2,1,DC,Dubai International Stadium,27 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1897,Faf du Plessis,14,4,350.0,0,2,RR,Sharjah Cricket Stadium,22 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1898,Dinesh Karthik,14,6,233.33,3,0,PBKS,Zayed Cricket Stadium,10 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1899,Quinton de Kock,14,6,233.33,2,1,DC,Dubai International Stadium,10 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1900,Nicholas Pooran,14,4,350.0,0,2,SRH,Dubai International Stadium,08 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1901,Kedar Jadhav,14,5,280.0,3,0,RR,Sharjah Cricket Stadium,22 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1902,Ravindra Jadeja,14,3,466.66,2,1,KKR,Zayed Cricket Stadium,07 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1903,Steve Smith,14,6,233.33,3,0,PBKS,Sharjah Cricket Stadium,27 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1904,Nitish Rana,14,5,280.0,2,1,CSK,Dubai International Stadium,29 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
